Date,Open,High,Low,Close,Adj Close,Volume
"Nov 21, 2022",1739.00,1744.90,1736.10,1737.40,1737.40,414.00
"Nov 18, 2022",1763.30,1763.30,1747.60,1751.90,1751.90,414.00
"Nov 17, 2022",1763.00,1763.00,1756.00,1760.80,1760.80,18.00
"Nov 16, 2022",1776.60,1778.90,1773.00,1773.00,1773.00,303.00
"Nov 15, 2022",1770.80,1773.80,1769.90,1773.80,1773.80,57.00
"Nov 14, 2022",1762.00,1773.60,1761.60,1773.60,1773.60,358.00
"Nov 11, 2022",1763.80,1766.00,1757.60,1766.00,1766.00,257.00
"Nov 10, 2022",1708.20,1750.30,1708.20,1750.30,1750.30,325.00
"Nov 09, 2022",1707.40,1720.20,1706.00,1710.10,1710.10,497.00
"Nov 08, 2022",1703.20,1712.10,1703.20,1712.10,1712.10,23.00
"Nov 07, 2022",1676.90,1677.90,1672.90,1676.50,1676.50,42.00
"Nov 03, 2022",1630.20,1674.50,1629.00,1672.50,1672.50,159.00
"Nov 02, 2022",1629.20,1629.20,1615.10,1627.30,1627.30,1427.00
"Nov 01, 2022",1650.80,1664.70,1634.00,1645.70,1645.70,612.00
"Oct 31, 2022",1630.80,1653.70,1630.80,1645.00,1645.00,985.00
"Oct 30, 2022",1641.80,1641.80,1633.40,1635.90,1635.90,522.00
"Oct 27, 2022",1661.00,1661.00,1638.70,1639.60,1639.60,626.00
"Oct 26, 2022",1660.70,1660.70,1660.70,1660.70,1660.70,2298.00
"Oct 25, 2022",1649.80,1667.00,1649.80,1664.00,1664.00,89.00
"Oct 24, 2022",1648.20,1652.80,1637.30,1652.80,1652.80,880.00
"Oct 23, 2022",1662.70,1662.70,1648.70,1648.70,1648.70,29.00
"Oct 20, 2022",1634.10,1653.90,1634.10,1651.00,1651.00,224.00
"Oct 19, 2022",1622.80,1641.40,1622.80,1630.80,1630.80,477.00
"Oct 18, 2022",1637.50,1637.50,1627.50,1627.50,1627.50,84.00
"Oct 17, 2022",1651.40,1655.20,1649.00,1649.00,1649.00,597.00
"Oct 16, 2022",1650.20,1657.00,1646.80,1657.00,1657.00,238.00
"Oct 13, 2022",1665.30,1667.00,1640.00,1641.70,1641.70,82.00
"Oct 12, 2022",1675.20,1675.30,1641.50,1670.00,1670.00,729.00
"Oct 11, 2022",1668.00,1672.70,1668.00,1670.30,1670.30,149.00
"Oct 10, 2022",1661.80,1678.70,1661.00,1678.70,1678.70,167.00
"Oct 09, 2022",1693.40,1693.40,1667.00,1667.30,1667.30,195.00
"Oct 06, 2022",1710.10,1710.10,1693.70,1700.50,1700.50,179.00
"Oct 05, 2022",1721.00,1723.30,1709.10,1711.70,1711.70,133.00
"Oct 04, 2022",1724.10,1726.60,1703.00,1711.40,1711.40,418.00
"Oct 03, 2022",1701.20,1728.00,1696.00,1721.10,1721.10,291.00
"Oct 02, 2022",1667.20,1700.00,1661.90,1692.90,1692.90,410.00
"Sep 29, 2022",1661.70,1672.70,1658.00,1662.40,1662.40,548.00
"Sep 28, 2022",1657.00,1662.60,1640.00,1658.50,1658.50,6028.00
"Sep 27, 2022",1620.40,1660.40,1620.40,1660.40,1660.40,18311.00
"Sep 26, 2022",1632.20,1636.60,1626.70,1626.70,1626.70,888.00
"Sep 25, 2022",1623.30,1623.30,1623.30,1623.30,1623.30,1205.00
"Sep 22, 2022",1667.00,1667.00,1645.30,1645.30,1645.30,1224.00
"Sep 21, 2022",1668.30,1670.80,1668.30,1670.80,1670.80,973.00
"Sep 20, 2022",1665.50,1680.10,1664.60,1664.60,1664.60,2337.00
"Sep 19, 2022",1659.70,1659.70,1659.70,1659.70,1659.70,2830.00
"Sep 18, 2022",1661.80,1669.40,1658.50,1666.20,1666.20,580.00
"Sep 15, 2022",1660.40,1674.90,1651.70,1671.70,1671.70,464.00
"Sep 14, 2022",1685.50,1686.00,1662.30,1665.40,1665.40,1125.00
"Sep 13, 2022",1698.70,1701.80,1696.50,1696.50,1696.50,532.00
"Sep 12, 2022",1720.50,1720.50,1697.30,1705.00,1705.00,432.00
"Sep 11, 2022",1727.40,1728.10,1727.40,1728.10,1728.10,68.00
"Sep 08, 2022",1719.20,1720.00,1712.80,1716.20,1716.20,635.00
"Sep 07, 2022",1718.20,1718.20,1705.30,1708.00,1708.00,1193.00
